experiment,run,round,persona,participation_rate,support_no_action_rate,opposition_rate,neutral_rate,participation_count,support_no_action_count,opposition_count,neutral_count,total_agents
experiment_1a,3,3,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,3,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,3,3,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,3,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,3,4,ALL,0.7600,0.0800,0.0000,0.1600,38,4,0,8,50
experiment_1a,3,4,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_1a,3,4,B,0.9429,0.0571,0.0000,0.0000,33,2,0,0,35
experiment_1a,3,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,3,5,ALL,0.2600,0.5800,0.0000,0.1600,13,29,0,8,50
experiment_1a,3,5,C,0.2857,0.7143,0.0000,0.0000,2,5,0,0,7
experiment_1a,3,5,B,0.3143,0.6857,0.0000,0.0000,11,24,0,0,35
experiment_1a,3,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2,3,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,3,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2,3,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,3,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,3,2,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,3,3,ALL,0.7800,0.0600,0.0000,0.1600,39,3,0,8,50
experiment_2,3,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,3,3,B_prime,0.9143,0.0857,0.0000,0.0000,32,3,0,0,35
experiment_2,3,4,ALL,0.3800,0.4600,0.0000,0.1600,19,23,0,8,50
experiment_2,3,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,4,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_2,3,4,B_prime,0.4000,0.6000,0.0000,0.0000,14,21,0,0,35
experiment_2,3,5,ALL,0.1200,0.7200,0.0000,0.1600,6,36,0,8,50
experiment_2,3,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,5,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_2,3,5,B_prime,0.0286,0.9714,0.0000,0.0000,1,34,0,0,35
experiment_2a,3,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2a,3,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,3,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
